setting,source,target,method,threshold_type,threshold_value,f1,recall,fpr,notes
cross_domain,iot,cic,rf,default,0.5,0.0004,0.0002,0.103,
cross_domain,iot,cic,rf,val_tuned,0.95,0.0,0.0,0.0107,
cross_domain,iot,cic,rf,fixed_fpr,1.0,0.0,0.0,0.0,degenerate threshold
cross_domain,iot,cic,xgb,default,0.5,0.0004,0.0002,0.0987,
cross_domain,iot,cic,xgb,val_tuned,0.990845,0.0004,0.0002,0.0507,degenerate threshold
cross_domain,iot,cic,xgb,fixed_fpr,0.999967,0.0,0.0,0.0,degenerate threshold
cross_domain,iot,cic,cnn1d,default,0.5,0.2327,0.1655,0.1727,
cross_domain,iot,cic,cnn1d,val_tuned,0.989806,0.1867,0.1148,0.0771,
cross_domain,iot,cic,cnn1d,fixed_fpr,1.0,0.094,0.0497,0.0048,
cross_domain,iot,cic,lstm,default,0.5,0.2607,0.1914,0.186,
cross_domain,iot,cic,lstm,val_tuned,0.915208,0.2653,0.1914,0.1689,
cross_domain,iot,cic,lstm,fixed_fpr,0.937249,0.0,0.0,0.0149,
