eval_block,source_dataset,target_dataset,regime,fusion_name,component_methods,threshold_type,threshold_value_or_mode,score_normalization_rule,eligible,f1,precision,recall,fpr,roc_auc,pr_auc,best_single_method_same_tier,best_single_f1_same_tier,best_single_recall_same_tier,best_single_fpr_same_tier,delta_f1_vs_best_single,delta_recall_vs_best_single,delta_fpr_vs_best_single,interpretable_gain_type,notes
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,score_average,lr+xgb+lstm,default,0.5,raw_prob_avg_thr0.5,True,0.0,0.0,0.0,0.0002,,,lr,0.8921,0.8153,0.0167,-0.8921,-0.8153,-0.0165,no_material_gain,
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,OR,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.1144,0.9295,0.061,0.0062,,,xgb,0.1131,0.0602,0.0044,0.0013,0.0008,0.0018,no_material_gain,
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,AND,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,xgb,0.1131,0.0602,0.0044,-0.1131,-0.0602,-0.0044,tradeoff_not_worth_it,
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,majority_vote,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0002,,,xgb,0.1131,0.0602,0.0044,-0.1131,-0.0602,-0.0042,no_material_gain,
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,OR,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.8606,0.9805,0.7669,0.0203,,,lr,0.825,0.7062,0.0076,0.0356,0.0607,0.0127,true_tp_complementarity,
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,AND,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0002,,,lr,0.825,0.7062,0.0076,-0.825,-0.7062,-0.0074,tradeoff_not_worth_it,
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,majority_vote,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0994,0.9747,0.0524,0.0018,,,lr,0.825,0.7062,0.0076,-0.7256,-0.6538,-0.0058,no_material_gain,
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,OR,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.1429,0.1112,0.1998,0.0958,,,lr,0.1429,0.1998,0.0958,0.0,0.0,0.0,no_material_gain,
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,AND,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lr,0.1429,0.1998,0.0958,-0.1429,-0.1998,-0.0958,tradeoff_not_worth_it,
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,majority_vote,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0003,0.0833,0.0001,0.0001,,,lr,0.1429,0.1998,0.0958,-0.1426,-0.1997,-0.0957,no_material_gain,
