eval_block,target_dataset,source_dataset,method,threshold_type,threshold_value,subset_type,subset_definition,n_samples,n_attacks,n_benign,f1,recall,precision,fpr,roc_auc,delta_f1_vs_full,delta_recall_vs_full,interpretation
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lr,default,0.5,high_vol_atk_q75,atk: bytes_total >= Q75=4946,116989,1730,115259,0.0066,0.0243,0.0038,0.0958,0.5329,-0.1363,-0.1755,high_volume_harder
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lr,default,0.5,high_pps_atk_q75,atk: pps >= Q75=87.60,116988,1729,115259,0.0058,0.0214,0.0033,0.0958,0.114,-0.1371,-0.1784,high_volume_harder
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lr,fixed_fpr,0.726264,full_test,all 122175 flows,122175,6916,115259,0.0641,0.0753,0.0559,0.0764,0.6202,0.0,0.0,baseline
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lr,fixed_fpr,0.726264,tcp_only,TCP flows only (protocol=6),88727,5481,83246,0.0661,0.089,0.0525,0.1058,0.7039,0.002,0.0137,protocol_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lr,fixed_fpr,0.726264,udp_only,UDP flows only (protocol=17),33448,1435,32013,0.0449,0.023,0.9706,0.0,0.1166,-0.0192,-0.0523,protocol_dominant_recall_loss
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lr,fixed_fpr,0.726264,high_vol_atk_q75,atk: bytes_total >= Q75=4946,116989,1730,115259,0.0034,0.0104,0.002,0.0764,0.5329,-0.0607,-0.0649,high_volume_harder
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lr,fixed_fpr,0.726264,high_pps_atk_q75,atk: pps >= Q75=87.60,116988,1729,115259,0.0061,0.0185,0.0036,0.0764,0.114,-0.058,-0.0568,high_volume_harder
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,default,0.5,full_test,all 122175 flows,122175,6916,115259,0.0003,0.0001,0.0833,0.0001,0.3244,0.0,0.0,baseline
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,default,0.5,tcp_only,TCP flows only (protocol=6),88727,5481,83246,0.0004,0.0002,0.0833,0.0001,0.3621,0.0001,0.0001,protocol_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,default,0.5,udp_only,UDP flows only (protocol=17),33448,1435,32013,0.0,0.0,0.0,0.0,0.1236,-0.0003,-0.0001,protocol_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,default,0.5,high_vol_atk_q75,atk: bytes_total >= Q75=4946,116989,1730,115259,0.0,0.0,0.0,0.0001,0.3693,-0.0003,-0.0001,rank_signal_preserved_volume_threshold_issue
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,default,0.5,high_pps_atk_q75,atk: pps >= Q75=87.60,116988,1729,115259,0.0,0.0,0.0,0.0001,0.1523,-0.0003,-0.0001,high_volume_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,full_test,all 122175 flows,122175,6916,115259,0.0571,0.0561,0.0581,0.0546,0.3244,0.0,0.0,baseline
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,tcp_only,TCP flows only (protocol=6),88727,5481,83246,0.0635,0.0704,0.0578,0.0756,0.3621,0.0064,0.0143,protocol_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,udp_only,UDP flows only (protocol=17),33448,1435,32013,0.0028,0.0014,1.0,0.0,0.1236,-0.0543,-0.0547,protocol_dominant_recall_loss
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,high_vol_atk_q75,atk: bytes_total >= Q75=4946,116989,1730,115259,0.0109,0.0254,0.0069,0.0546,0.3693,-0.0462,-0.0307,rank_signal_preserved_volume_threshold_issue
cic_to_unsw,UNSW-NB15,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,high_pps_atk_q75,atk: pps >= Q75=87.60,116988,1729,115259,0.0017,0.004,0.0011,0.0546,0.1523,-0.0554,-0.0521,high_volume_harder
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lstm,default,0.5,full_test,all 122175 flows,122175,6916,115259,0.0,0.0,0.0,0.0,0.5408,0.0,0.0,baseline
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lstm,default,0.5,tcp_only,TCP flows only (protocol=6),88727,5481,83246,0.0,0.0,0.0,0.0,0.4668,0.0,0.0,protocol_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lstm,default,0.5,udp_only,UDP flows only (protocol=17),33448,1435,32013,0.0,0.0,0.0,0.0,0.9278,0.0,0.0,protocol_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lstm,default,0.5,high_vol_atk_q75,atk: bytes_total >= Q75=4946,116989,1730,115259,0.0,0.0,0.0,0.0,0.7288,0.0,0.0,high_volume_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lstm,default,0.5,high_pps_atk_q75,atk: pps >= Q75=87.60,116988,1729,115259,0.0,0.0,0.0,0.0,0.3603,0.0,0.0,high_volume_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lstm,fixed_fpr,0.002325,full_test,all 122175 flows,122175,6916,115259,0.0582,0.0348,0.1767,0.0097,0.5408,0.0,0.0,baseline
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lstm,fixed_fpr,0.002325,tcp_only,TCP flows only (protocol=6),88727,5481,83246,0.0704,0.044,0.1767,0.0135,0.4668,0.0122,0.0092,protocol_neutral
cic_to_unsw,UNSW-NB15,CIC-IDS2017,lstm,fixed_fpr,0.002325,udp_only,UDP flows only (protocol=17),33448,1435,32013,0.0,0.0,0.0,0.0,0.9278,-0.0582,-0.0348,protocol_dominant_recall_loss
