setting,source,target,method,threshold_type,threshold_value,f1,recall,fpr,classification,evidence_status,interpretation,notes
cross_domain,cic,unsw,lr,fixed_fpr,0.726,0.0641,0.0753,0.0764,observed_nonzero,observed_row,"F1=0.0641, Recall=0.0753, FPR=0.0764",CIC fixed_fpr applied to UNSW
cross_domain,cic,unsw,rf,default,0.5,0.0,0.0,0.0,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,
cross_domain,cic,unsw,rf,fixed_fpr,0.005,0.1431,0.4137,0.2621,observed_nonzero,observed_row,"F1=0.1431, Recall=0.4137, FPR=0.2621",CIC fixed_fpr applied to UNSW
cross_domain,iot,unsw,lr,default,0.5,0.0316,0.1436,0.477,observed_nonzero,observed_row,"F1=0.0316, Recall=0.1436, FPR=0.4770",
cross_domain,iot,unsw,rf,default,0.5,0.0332,0.166,0.5301,observed_nonzero,observed_row,"F1=0.0332, Recall=0.1660, FPR=0.5301",
cross_domain,iot,unsw,xgb,default,0.5,0.0438,0.2072,0.495,observed_nonzero,observed_row,"F1=0.0438, Recall=0.2072, FPR=0.4950",
cross_domain,iot,unsw,cnn1d,default,0.5,0.061,0.0895,0.1108,observed_nonzero,observed_row,"F1=0.0610, Recall=0.0895, FPR=0.1108",
cross_domain,iot,unsw,lstm,default,0.5,0.1394,0.1079,0.0264,observed_nonzero,observed_row,"F1=0.1394, Recall=0.1079, FPR=0.0264",
cross_domain,unsw,cic,lr,default,0.5,0.7313,0.8031,0.264,observed_nonzero,observed_row,"F1=0.7313, Recall=0.8031, FPR=0.2640",
cross_domain,unsw,cic,lr,val_tuned,0.799,0.7403,0.7819,0.2218,observed_nonzero,observed_row,"F1=0.7403, Recall=0.7819, FPR=0.2218",UNSW val_tuned applied to CIC
cross_domain,unsw,cic,rf,default,0.5,0.001,0.0008,0.3056,observed_true_zero,observed_row,"Near-zero F1=0.0010, Recall=0.0008; effectively zero detection",
cross_domain,unsw,cic,xgb,default,0.5,0.2038,0.1925,0.4674,observed_nonzero,observed_row,"F1=0.2038, Recall=0.1925, FPR=0.4674",
cross_domain,unsw,cic,cnn1d,default,0.5,0.0042,0.0033,0.3743,observed_nonzero,observed_row,"F1=0.0042, Recall=0.0033, FPR=0.3743",
cross_domain,unsw,cic,lstm,default,0.5,0.6307,0.8022,0.4979,observed_nonzero,observed_row,"F1=0.6307, Recall=0.8022, FPR=0.4979",
cross_domain,unsw,cic,lstm,val_tuned,0.9,0.7197,0.7997,0.2837,observed_nonzero,observed_row,"F1=0.7197, Recall=0.7997, FPR=0.2837",UNSW val_tuned applied to CIC
