experiment_group,context,method,seed,threshold_type,threshold_value,f1,precision,recall,fpr,roc_auc,pr_auc,eligible,n_epochs,train_time_s,notes,row_type,n_seeds,mean_f1,std_f1,min_f1,max_f1,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_fpr,std_fpr
cross_domain,UNSW->CIC,lstm,44,fixed_fpr,0.9661,0.8042,0.8101,0.7984,0.1256,0.7887,0.6061,True,10.0,18.6,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,42,default,0.5,0.0471,0.0359,0.0687,0.1107,0.5804,0.0891,True,13.0,1.6,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,42,val_tuned,0.224,0.0526,0.04,0.0769,0.1108,0.5804,0.0891,True,13.0,1.6,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,42,fixed_fpr,0.0437,0.061,0.0462,0.0896,0.111,0.5804,0.0891,True,13.0,1.6,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,43,default,0.5,0.0575,0.0412,0.0956,0.1336,0.534,0.0698,True,14.0,2.0,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,43,val_tuned,0.894,0.0562,0.0427,0.0823,0.1108,0.534,0.0698,True,14.0,2.0,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,43,fixed_fpr,0.3447,0.0638,0.0456,0.1064,0.1337,0.534,0.0698,True,14.0,2.0,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,44,default,0.5,0.067,0.0478,0.1118,0.1336,0.476,0.0577,True,9.0,1.2,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,44,val_tuned,0.884,0.0561,0.0402,0.0931,0.1336,0.476,0.0577,True,9.0,1.2,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,cnn1d,44,fixed_fpr,0.7744,0.0606,0.0433,0.1008,0.1336,0.476,0.0577,True,9.0,1.2,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,lstm,42,default,0.5,0.0692,0.1146,0.0496,0.023,0.6306,0.0837,True,15.0,2.3,,per_seed,,,,,,,,,,,
cross_domain,IoT->UNSW,lstm,42,val_tuned,0.995,0.05,0.0847,0.0354,0.023,0.6306,0.0837,False,15.0,2.3,degenerate_threshold,per_seed,,,,,,,,,,,
